"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "Markdown", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\userApi.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -30, 0, -3, -33
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\userSlice.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -29, 0, -6, -35
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\wishlist\WishEmpty.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -12, 0, -3, -15
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\wishlist\WishItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -60, 0, -5, -65
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\wishlist\WishList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -27, 0, -4, -31
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\wishlist\wishListSlice.js", "JavaScript", -24, 0, 0, 0, 0, 0, 0, -4, -28
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -6, 0, -3, -9
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useCart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -16, 0, -4, -20
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useIntersection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -17, 0, -6, -23
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -7, 0, -3, -10
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useUser.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -14, 0, -5, -19
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\index.css", "CSS", 0, 0, -39, 0, 0, 0, 0, -6, -45
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\index.js", "JavaScript", -18, 0, 0, 0, 0, 0, -3, -5, -26
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Addresses.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -5, 0, -3, -8
