Date : 2024-07-04 08:47:48
Directory : c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src
Total : 78 files,  4336 codes, 41 comments, 376 blanks, all 4753 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\cart\components\CartEmpty.jsx                | JavaScript JSX |         15 |          0 |          3 |         18 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\cart\components\CartItem1.jsx                | JavaScript JSX |         82 |          0 |          6 |         88 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\cart\components\CartList.jsx                 | JavaScript JSX |         48 |          0 |          6 |         54 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\order\components\OrderInfo.jsx               | JavaScript JSX |         47 |          0 |          3 |         50 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\order\components\OrderItem.jsx               | JavaScript JSX |         14 |          0 |          3 |         17 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\order\components\OrderList.jsx               | JavaScript JSX |         24 |          0 |          4 |         28 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\order\orderApi.js                            | JavaScript     |         42 |          0 |          2 |         44 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\order\orderSlice.js                          | JavaScript     |         87 |          0 |          5 |         92 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\user\components\AddressPage.jsx              | JavaScript JSX |        103 |          0 |          3 |        106 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\user\components\EditAddressForm.jsx          | JavaScript JSX |        211 |          0 |          5 |        216 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\user\components\NewAddressForm.jsx           | JavaScript JSX |        200 |          0 |          7 |        207 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\user\userApi.jsx                             | JavaScript JSX |         30 |          0 |          3 |         33 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\user\userSlice.jsx                           | JavaScript JSX |         33 |          0 |          6 |         39 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\wishlist\WishEmpty.jsx                       | JavaScript JSX |         15 |          0 |          3 |         18 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\wishlist\WishItem.jsx                        | JavaScript JSX |         60 |          0 |          5 |         65 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\wishlist\WishList.jsx                        | JavaScript JSX |         27 |          0 |          4 |         31 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\wishlist\wishListSlice.js                    | JavaScript     |         24 |          0 |          4 |         28 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\hooks\useAuth.jsx                                     | JavaScript JSX |          7 |          0 |          3 |         10 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\hooks\useCart.jsx                                     | JavaScript JSX |         16 |          0 |          4 |         20 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\hooks\useIntersection.jsx                             | JavaScript JSX |         17 |          0 |          6 |         23 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\hooks\useOrder.jsx                                    | JavaScript JSX |          7 |          0 |          3 |         10 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\hooks\useUser.jsx                                     | JavaScript JSX |         25 |          0 |          4 |         29 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\index.css                                             | CSS            |         39 |          0 |          6 |         45 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\index.js                                              | JavaScript     |         18 |          3 |          5 |         26 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\AdminAddProduct.jsx                             | JavaScript JSX |         36 |          0 |          5 |         41 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\AdminProductEdit.jsx                            | JavaScript JSX |         49 |          0 |          5 |         54 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\AdminProducts.jsx                               | JavaScript JSX |          7 |          0 |          3 |         10 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\Checkout.jsx                                    | JavaScript JSX |        218 |          1 |          6 |        225 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\Home.jsx                                        | JavaScript JSX |        108 |          0 |          6 |        114 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\Login.jsx                                       | JavaScript JSX |        130 |          0 |          8 |        138 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\OrderHistory.jsx                                | JavaScript JSX |         49 |          0 |          4 |         53 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\OrderProcess.jsx                                | JavaScript JSX |         60 |          0 |          3 |         63 |
| c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\pages\OrderStatus.jsx                                 | JavaScript JSX |         93 |          1 |          7 |        101 |
