"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 130, 0, 0, 0, 0, 8, 138
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\OrderHistory.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 0, 0, 3, 36
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\OrderProcess.jsx", "JavaScript JSX", 0, 0, 60, 0, 0, 0, 0, 3, 63
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\OrderStatus.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Personal.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\PreviousOrder.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Products.jsx", "JavaScript JSX", 0, 0, 124, 0, 0, 0, 1, 14, 139
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Signup.jsx", "JavaScript JSX", 0, 0, 163, 0, 0, 0, 0, 8, 171
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\User.jsx", "JavaScript JSX", 0, 0, 38, 0, 0, 0, 0, 5, 43
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\tailwind.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 3, 18
"Total", "-", 39, 666, 2754, 18038, 26, 21, 64, 341, 21949
